Time,Channel A,Channel B
(us),(mV),(mV)

-5.76388764,1.47099209,-2.22785115
-5.75988764,1.66631055,-3.46385050
-5.75588765,1.96539199,-2.96029520
-5.75188765,1.66631055,0.97659224
-5.74788765,1.86162913,0.48829612
-5.74388765,1.76396978,-0.25940731
-5.73988765,1.76396978,0.00000000
-5.73588765,1.76396978,-2.96029520
-5.73188765,2.06305122,0.24414806
-5.72788765,1.66631055,-3.21970248
-5.72388765,1.66631055,-1.98370302
-5.71988765,2.16071033,-2.71614718
-5.71588765,1.76396978,-2.22785115
-5.71188765,1.76396978,-1.48014760
-5.70788765,1.08035517,-1.48014760
-5.70388765,2.06305122,-1.23599958
-5.69988765,2.06305122,-1.98370302
-5.69588765,1.86162913,-2.22785115
-5.69188765,1.66631055,-1.73955488
-5.68788765,1.96539199,1.72429574
-5.68388765,2.16071033,-3.46385050
-5.67988765,1.86162913,-2.47199917
-5.67588765,1.96539199,-2.96029520
-5.67188765,1.76396978,-0.99185151
-5.66788765,1.76396978,-1.73955488
-5.66388765,2.06305122,-1.98370302
-5.65988765,1.86162913,-2.22785115
-5.65588765,2.06305122,-3.46385050
-5.65188765,1.76396978,-1.23599958
-5.64788765,1.37333298,-1.73955488
-5.64388765,1.96539199,0.73244417
-5.63988765,1.86162913,-3.46385050
-5.63588765,1.56865132,-1.98370302
-5.63188765,1.96539199,-2.22785115
-5.62788765,1.56865132,-0.99185151
-5.62388765,1.47099209,-1.98370302
-5.61988765,1.66631055,-1.98370302
-5.61588765,1.27567363,0.48829612
-5.61188765,2.06305122,-1.23599958
-5.60788765,1.76396978,-0.99185151
-5.60388765,1.76396978,-1.98370302
-5.59988765,1.66631055,-0.50355536
-5.59588765,2.25836945,-0.25940731
-5.59188765,1.86162913,-2.71614718
-5.58788765,1.86162913,-1.23599958
-5.58388765,1.56865132,-2.22785115
-5.57988765,1.76396978,-0.74770343
-5.57588765,1.86162913,-1.73955488
-5.57188765,2.06305122,-2.96029520
-5.56788765,1.08035517,-3.21970248
-5.56388765,1.86162913,0.73244417
-5.55988765,2.35602903,-3.21970248
-5.55588765,1.86162913,-2.22785115
-5.55188765,1.76396978,-2.22785115
-5.54788765,1.76396978,-3.70799875
-5.54388765,1.96539199,-0.25940731
-5.53988765,1.76396978,-2.71614718
-5.53588765,1.86162913,-1.98370302
-5.53188765,1.86162913,0.48829612
-5.52788765,1.86162913,-2.22785115
-5.52388765,2.45368814,0.48829612
-5.51988765,1.56865132,-0.99185151
-5.51588765,2.06305122,-2.47199917
-5.51188765,1.96539199,-1.73955488
-5.50788765,1.76396978,0.24414806
-5.50388765,1.86162913,-2.47199917
-5.49988765,1.86162913,-3.70799875
-5.49588765,1.86162913,-3.46385050
-5.49188765,1.66631055,-2.96029520
-5.48788765,1.86162913,-0.74770343
-5.48388765,1.76396978,-0.50355536
-5.47988765,1.86162913,-0.99185151
-5.47588765,1.66631055,-2.22785115
-5.47188765,1.56865132,-3.70799875
-5.46788765,2.35602903,-3.21970248
-5.46388765,2.16071033,-2.96029520
-5.45988765,1.76396978,-1.73955488
-5.45588765,1.56865132,0.24414806
-5.45188765,1.47099209,-0.25940731
-5.44788765,1.27567363,0.00000000
-5.44388765,2.06305122,-1.98370302
-5.43988765,1.56865132,0.00000000
-5.43588765,2.16071033,-0.74770343
-5.43188765,1.66631055,-3.70799875
-5.42788765,1.86162913,-1.98370302
-5.42388765,1.76396978,0.48829612
-5.41988765,2.06305122,-2.22785115
-5.41588765,2.06305122,-2.22785115
-5.41188765,2.45368814,-2.47199917
-5.40788765,1.56865132,-3.95214677
-5.40388765,2.45368814,-1.48014760
-5.39988766,1.66631055,-1.23599958
-5.39588766,1.86162913,-2.96029520
-5.39188766,1.76396978,-2.47199917
-5.38788766,2.74666595,0.24414806
-5.38388766,1.37333298,-1.48014760
-5.37988766,1.37333298,-2.71614718
-5.37588766,1.86162913,0.00000000
-5.37188766,1.56865132,-5.67644262
-5.36788766,1.56865132,-3.46385050
-5.36388766,2.25836945,-1.98370302
-5.35988766,1.76396978,-3.21970248
-5.35588766,2.06305122,-4.69985008
-5.35188766,2.06305122,-0.74770343
-5.34788766,1.76396978,-3.95214677
-5.34388766,1.47099209,-4.19629478
-5.33988766,2.25836945,-0.50355536
-5.33588766,2.55134726,-2.96029520
-5.33188766,2.25836945,-2.96029520
-5.32788766,2.06305122,-0.99185151
-5.32388766,1.76396978,-2.22785115
-5.31988766,2.16071033,-2.96029520
-5.31588766,1.56865132,-4.19629478
-5.31188766,2.16071033,-0.50355536
-5.30788766,1.66631055,-1.23599958
-5.30388766,1.56865132,-1.23599958
-5.29988766,1.56865132,-2.71614718
-5.29588766,1.96539199,-2.22785115
-5.29188766,2.25836945,-1.48014760
-5.28788766,2.35602903,-2.47199917
-5.28388766,2.25836945,-1.98370302
-5.27988766,1.56865132,-3.46385050
-5.27588766,1.76396978,-3.70799875
-5.27188766,1.86162913,1.22074032
-5.26788766,2.25836945,1.22074032
-5.26388766,1.76396978,-1.48014760
-5.25988766,1.76396978,0.24414806
-5.25588766,2.06305122,-0.74770343
-5.25188766,1.56865132,-1.98370302
-5.24788766,2.45368814,-1.98370302
-5.24388766,2.16071033,-0.74770343
-5.23988766,1.76396978,-2.47199917
-5.23588766,2.16071033,-1.98370302
-5.23188766,1.76396978,-1.98370302
-5.22788766,1.86162913,-2.71614718
-5.22388766,1.96539199,-0.25940731
-5.21988766,2.06305122,-3.21970248
-5.21588766,1.86162913,-1.48014760
-5.21188766,1.86162913,-1.23599958
-5.20788766,1.86162913,-3.21970248
-5.20388766,1.76396978,-1.73955488
-5.19988766,1.47099209,-1.73955488
-5.19588766,2.55134726,-1.98370302
-5.19188766,2.25836945,-1.48014760
-5.18788766,1.86162913,2.21259189
-5.18388766,2.06305122,-2.22785115
-5.17988766,1.86162913,-0.74770343
-5.17588766,1.96539199,-1.48014760
-5.17188766,1.47099209,-4.94399834
-5.16788766,1.96539199,-2.71614718
-5.16388766,1.86162913,-4.94399834
-5.15988766,2.16071033,0.24414806
-5.15588766,2.06305122,-0.74770343
-5.15188766,2.35602903,-1.48014760
-5.14788766,1.27567363,-2.47199917
-5.14388766,1.96539199,-2.96029520
-5.13988766,2.55134726,-2.71614718
-5.13588766,1.66631055,-0.50355536
-5.13188766,1.66631055,-0.50355536
-5.12788766,2.45368814,-4.19629478
-5.12388766,1.66631055,-0.74770343
-5.11988766,1.56865132,-2.47199917
-5.11588766,1.37333298,-1.98370302
-5.11188766,2.16071033,-1.98370302
-5.10788766,2.55134726,-3.70799875
-5.10388766,2.55134726,-3.21970248
-5.09988766,2.45368814,-2.47199917
-5.09588766,2.25836945,-1.98370302
-5.09188766,1.86162913,-3.21970248
-5.08788766,1.76396978,-2.22785115
-5.08388766,2.16071033,-3.21970248
-5.07988766,2.16071033,-1.48014760
-5.07588766,1.66631055,-0.74770343
-5.07188766,2.16071033,-3.21970248
-5.06788766,2.06305122,-2.47199917
-5.06388766,2.16071033,-1.48014760
-5.05988766,1.86162913,-1.98370302
-5.05588766,1.76396978,-3.95214677
-5.05188766,1.96539199,-3.21970248
-5.04788767,2.16071033,-2.96029520
-5.04388767,2.25836945,-0.99185151
-5.03988767,1.96539199,-0.50355536
-5.03588767,1.86162913,-1.23599958
-5.03188767,1.56865132,-2.22785115
-5.02788767,2.25836945,-2.71614718
-5.02388767,1.56865132,-2.47199917
-5.01988767,1.96539199,-1.48014760
-5.01588767,2.55134726,-0.99185151
-5.01188767,2.25836945,-2.96029520
-5.00788767,1.76396978,-2.96029520
-5.00388767,2.06305122,-2.47199917
-4.99988767,1.66631055,-2.47199917
-4.99588767,1.86162913,-2.96029520
-4.99188767,1.56865132,-1.48014760
-4.98788767,1.66631055,-2.71614718
-4.98388767,2.16071033,-2.47199917
-4.97988767,2.06305122,-3.46385050
-4.97588767,1.66631055,-0.74770343
-4.97188767,2.45368814,0.48829612
-4.96788767,1.96539199,-2.71614718
-4.96388767,1.47099209,-1.48014760
-4.95988767,1.86162913,-1.48014760
-4.95588767,1.56865132,-3.46385050
-4.95188767,1.86162913,-0.50355536
-4.94788767,1.56865132,-2.47199917
-4.94388767,1.27567363,-0.50355536
-4.93988767,2.16071033,-1.73955488
-4.93588767,1.86162913,-3.95214677
-4.93188767,1.66631055,-0.50355536
-4.92788767,1.96539199,-2.96029520
-4.92388767,1.66631055,-1.23599958
-4.91988767,1.76396978,-0.74770343
-4.91588767,1.66631055,-1.48014760
-4.91188767,1.56865132,-0.99185151
-4.90788767,2.35602903,-0.50355536
-4.90388767,1.66631055,0.00000000
-4.89988767,2.45368814,-1.48014760
-4.89588767,1.47099209,-4.44044304
-4.89188767,1.96539199,-2.47199917
-4.88788767,2.35602903,-1.23599958
-4.88388767,1.96539199,-1.73955488
-4.87988767,2.06305122,-1.98370302
-4.87588767,2.06305122,-2.22785115
-4.87188767,1.86162913,-1.73955488
-4.86788767,2.25836945,-0.50355536
-4.86388767,2.35602903,-1.73955488
-4.85988767,2.25836945,-3.95214677
-4.85588767,2.16071033,-3.21970248
-4.85188767,1.96539199,-2.47199917
-4.84788767,1.66631055,0.48829612
-4.84388767,2.35602903,-1.98370302
-4.83988767,1.56865132,-2.22785115
-4.83588767,2.06305122,-1.48014760
-4.83188767,1.76396978,-2.47199917
-4.82788767,1.56865132,-1.73955488
-4.82388767,2.06305122,-2.96029520
-4.81988767,1.86162913,-3.46385050
-4.81588767,1.66631055,-2.47199917
-4.81188767,1.66631055,-1.48014760
-4.80788767,2.55134726,-3.70799875
