x,y
0.02722323049001815, 0.11141304347826086
0.009981851179673321, 0.06521739130434782
0.045372050816696916, 0.14130434782608695
0.06533575317604355, 0.1331521739130435
0.0852994555353902, 0.11413043478260869
0.09891107078039928, 0.08423913043478261
0.11343012704174228, 0.04076086956521739
0.12431941923774954, 0.002717391304347826
0.13611615245009073, 0.051630434782608696
0.15335753176043557, 0.125
0.1751361161524501, 0.23369565217391303
0.20780399274047187, 0.41304347826086957
0.2441016333938294, 0.6304347826086957
0.2767695099818512, 0.7934782608695652
0.3012704174228675, 0.9076086956521738
0.3348457350272232, 1.0244565217391304
0.3702359346642468, 1.1059782608695652
0.4419237749546279, 1
0.4764065335753176, 0.8478260869565217
0.5099818511796733, 0.6331521739130435
0.5526315789473684, 0.4076086956521739
0.5834845735027223, 0.1875
0.6079854809437386, 0.008152173913043478
0.5989110707803993, 0.08152173913043478
0.6306715063520871, 0.15217391304347827
0.6588021778584392, 0.33967391304347827
0.6878402903811252, 0.5407608695652174
0.7214156079854809, 0.7472826086956521
0.7549909255898366, 0.9076086956521738
0.7867513611615244, 1.0407608695652173
0.8266787658802177, 1.1114130434782608
0.882032667876588, 0.9891304347826086
0.9192377495462795, 0.7771739130434783
0.9682395644283122, 0.37228260869565216
0.9909255898366606, 0.10869565217391304
0.9981851179673321, 0.04619565217391304
1, -0.005434782608695652
-0.0009074410163339383, -0.005434782608695652
